_sentence,_receivers,time,latitude,longitude,altitude,temperature_internal,battery
"$$LetFik3,11:08:21,49.7078347206,18.8190865517,34158,1.572463,9.91373334961*6709",LetFik3,11:08:21,49.7078347206,18.8190865517,34158.0,1.572463,9.91373334961
"$$LetFik3,11:10:51,49.7204732895,19.0156817436,34361,3.800884,9.91373334961*ABE5",LetFik3,11:10:51,49.7204732895,19.0156817436,34361.0,3.800884,9.91373334961
"$$LetFik3,11:13:21,49.7332406044,19.2132854462,32696,2.600965,7.52912805176*3E3A",LetFik3,11:13:21,49.7332406044,19.2132854462,32696.0,2.600965,7.52912805176
"$$LetFik3,11:15:51,49.7345066071,19.3748831749,25942,2.772382,9.89084846191*078F",LetFik3,11:15:51,49.7345066071,19.3748831749,25942.0,2.772382,9.89084846191
"$$LetFik3,11:18:21,49.7242069244,19.4805836678,21706,1.74388,9.93204125977*B384",LetFik3,11:18:21,49.7242069244,19.4805836678,21706.0,1.74388,9.93204125977
"$$LetFik3,11:20:51,49.7104740143,19.5508146286,18498,4.486552,9.91373334961*6B0F",LetFik3,11:20:51,49.7104740143,19.5508146286,18498.0,4.486552,9.91373334961
"$$LetFik3,11:23:21,49.700345993,19.6091365814,15956,3.45805,7.55201293945*4409",LetFik3,11:23:21,49.700345993,19.6091365814,15956.0,3.45805,7.55201293945
"$$LetFik3,11:25:51,49.6935224533,19.6587896347,13812,3.115216,9.83592473145*CBFA",LetFik3,11:25:51,49.6935224533,19.6587896347,13812.0,3.115216,9.83592473145
"$$LetFik3,11:28:22,49.6937155724,19.7109103203,11935,1.229629,9.82677077637*BA5C",LetFik3,11:28:22,49.6937155724,19.7109103203,11935.0,1.229629,9.82677077637
"$$LetFik3,11:30:51,49.7024917603,19.7889304161,10281,-1.170209,9.85880961914*BF33",LetFik3,11:30:51,49.7024917603,19.7889304161,10281.0,-1.170209,9.85880961914
"$$LetFik3,11:33:22,49.7134780884,19.867143631,8763,-2.027294,9.69861540527*99BE",LetFik3,11:33:22,49.7134780884,19.867143631,8763.0,-2.027294,9.69861540527
"$$LetFik3,11:35:51,49.7223186493,19.9311304092,7414,-2.027294,9.78100100098*B9DF",LetFik3,11:35:51,49.7223186493,19.9311304092,7414.0,-2.027294,9.78100100098
"$$LetFik3,11:38:21,49.7297000885,19.9754405022,6200,-2.541545,9.78100100098*A609",LetFik3,11:38:21,49.7297000885,19.9754405022,6200.0,-2.541545,9.78100100098
"$$LetFik3,11:40:51,49.733068943,20.0082063675,4970,-2.712962,9.78100100098*17F7",LetFik3,11:40:51,49.733068943,20.0082063675,4970.0,-2.712962,9.78100100098
"$$LetFik3,11:43:21,49.7351932526,20.0324964523,3684,-2.712962,9.65284562988*1D1C",LetFik3,11:43:21,49.7351932526,20.0324964523,3684.0,-2.712962,9.65284562988
"$$LetFik3,11:45:52,49.7390985489,20.0436544418,2295,-2.198711,9.72607727051*F486",LetFik3,11:45:52,49.7390985489,20.0436544418,2295.0,-2.198711,9.72607727051
"$$LetFik3,11:48:23,49.7404289246,20.0449204445,957,-0.655958,9.80846286621*645E",LetFik3,11:48:23,49.7404289246,20.0449204445,957.0,-0.655958,9.80846286621
"$$LetFik3,01:19:05,50.1030635834,14.3924975395,246,17.17141,11.2181719482*3AAB",LetFik3,01:19:05,50.1030635834,14.3924975395,246.0,17.17141,11.2181719482
